0,41277870#1_0,1000009_22_2__6
50,151824728#2_0,18_1000011_1__18
50,151824728#2_0,18_1000011_1__102
50,23213604#0_0,1000019_19_1__101
50,23213604#0_0,1000019_1000002_1__10
50,23213604#0_0,1000019_19_1__67
50,23213604#0_0,1000019_91_1__94
50,23213604#0_0,1000019_91_1__14
50,23213604#0_0,1000019_91_1__183
50,23213604#0_0,1000019_22_1__43
50,23213604#0_0,1000019_19_1__159
50,23275345#11_0,1000019_16_1__6
50,32942493#2_0,22_1000008_1__71
50,39673908#5_0,1000000_1000004_1__1
50,39673908#5_0,1000000_23_3__2
50,39673908#5_0,1000000_19_1__45
50,39673908#5_0,1000000_19_1__25
50,39673908#5_0,1000000_20_1__31
50,39673908#5_0,1000000_105_2__2
50,39673908#5_0,1000000_1000016_1__7
50,39673908#5_1,1000000_129_1__45
50,41277870#1_0,1000009_20_1__7
50,41277870#1_0,1000009_21_1__31
50,41277870#1_0,1000009_22_2__18
50,41277870#1_1,1000009_91_2__17
50,41277870#1_1,1000009_19_2__46
50,41277870#1_1,1000009_129_1__23
100,-231109180#2_0,82_1000004_1__9
100,-23185864#4_1,50_1000000_1__48
100,-23185864#4_1,21_1000000_1__1
100,-96199160#0_0,1000005_1000003_1__4
100,-96199160#0_0,1000005_1000000_1__0
100,135982505#3_0,71_16_1__2
100,135982505#3_0,1000014_107_1__22
100,23210836#3_0,20_1000000_1__42
100,23210836#3_0,20_1000008_1__110
100,23210836#3_1,20_1000000_1__79
100,23213604#0_0,1000019_91_1__162
100,23213604#0_0,1000019_19_1__56
100,23213604#0_0,1000019_91_1__77
100,23213604#0_0,1000019_91_1__118
100,23213604#0_0,1000019_21_1__26
100,23213604#0_0,1000019_19_1__81
100,23213604#0_0,1000019_23_3__12
100,23275345#10_0,1000019_1000007_1__88
100,23275345#10_0,1000019_1000016_1__9
100,23275345#9_0,1000019_15_1__81
100,23288787#3_0,1000010_1000007_1__28
100,23288787#3_0,1000010_1000007_1__0
100,23288787#3_0,1000008_1000002_1__26
100,23288945#5_0,1000021_120_2__0
100,292179033#5_0,16_1000004_1__25
100,292179033#5_0,77_1000008_1__2
100,292179033#5_2,77_1000008_1__18
100,292179033#5_2,81_1000014_1__16
100,292179033#5_2,81_1000013_1__19
100,292179033#5_2,81_1000013_1__43
100,32942493#2_0,23_1000002_2__19
100,35016111#0_0,1000019_19_1__101
100,35016111#3_0,1000019_19_1__159
100,35016111#3_0,1000019_23_3__31
100,35016111#3_1,1000019_19_1__67
100,35016111#3_1,1000019_19_1__118
100,39673908#5_0,1000000_14_1__66
100,39673908#5_0,1000000_107_1__16
100,39673908#5_0,1000000_22_1__22
100,39673908#5_0,1000000_17_1__22
100,39673908#5_0,1000000_20_1__19
100,39673908#5_0,1000000_23_1__84
100,39673908#5_0,1000000_17_1__58
100,39673908#5_0,1000000_107_1__32
100,39673908#5_0,1000000_82_1__14
100,39673908#5_0,1000000_19_1__11
100,39673908#5_0,1000000_105_2__4
100,39673908#5_0,1000000_23_2__66
100,41277870#1_0,1000009_129_1__33
100,43469298#2_0,18_1000009_1__34
150,-231109180#2_0,82_1000013_1__9
150,135982505#3_0,1000014_107_1__28
150,135982505#3_0,1000020_1000011_1__5
150,135982505#3_0,1000020_50_1__57
150,135982505#3_0,1000014_107_1__31
150,151824728#2_0,105_1000011_1__31
150,151824728#2_0,105_1000011_1__37
150,23184327#5_2,23_1000010_1__0
150,23210836#3_0,1000019_1000007_1__89
150,23210836#3_0,1000014_1000000_1__4
150,23210836#3_0,20_1000008_1__18
150,23210836#3_1,70_1000000_1__28
150,23210836#3_1,1000019_129_1__3
150,23213604#0_0,1000019_91_1__52
150,23213604#0_0,1000019_19_1__114
150,23213604#0_0,1000019_19_1__149
150,23213604#0_0,1000019_21_1__5
150,23213604#0_0,1000019_22_2__3
150,23213604#0_0,1000019_23_3__3
150,23213604#0_0,1000019_23_3__6
150,23213604#0_0,1000019_22_2__30
150,23275345#10_0,1000019_1000007_1__96
150,23275345#11_0,1000019_50_1__1
150,23275345#9_0,1000019_15_1__93
150,23275345#9_0,1000019_17_1__45
150,23288787#3_0,20_1000000_1__79
150,292179033#5_2,81_1000014_1__8
150,292179033#5_2,16_1000014_1__5
150,32942493#2_0,22_1000012_1__20
150,32942493#2_0,23_105_1__1
150,32942493#2_0,14_1000000_1__4
150,32942493#2_0,22_1000012_1__25
150,32942493#2_0,14_1000009_2__12
150,35016111#3_0,1000019_23_3__12
150,39673908#5_0,1000000_17_1__108
150,39673908#5_0,1000000_14_1__72
150,39673908#5_0,1000000_22_2__20
150,39673908#5_0,1000000_17_1__45
150,39673908#5_0,1000000_19_1__41
150,39673908#5_0,1000000_129_1__63
150,39673908#5_0,1000000_17_1__55
150,39673908#5_0,1000000_50_1__40
150,39673908#5_0,1000000_50_1__2
150,39673908#5_0,1000000_81_1__37
150,39673908#5_0,1000000_23_2__14
150,39673908#5_0,1000000_17_1__18
150,39673908#5_0,1000000_107_1__14
150,39673908#5_0,1000000_1000005_1__33
150,39673908#5_0,1000000_81_1__0
150,39673908#5_0,1000000_50_1__42
150,39673908#5_0,1000000_14_1__66
150,39673908#5_0,1000000_107_1__16
150,39673908#5_0,1000000_22_1__22
150,39673908#5_0,1000000_17_1__22
150,39673908#5_0,1000000_20_1__19
150,39673908#5_0,1000000_23_1__84
150,39673908#5_0,1000000_17_1__58
150,41277870#1_0,1000009_14_1__10
150,41277870#1_1,1000009_19_2__35
150,41277870#1_1,1000009_91_2__43
150,41277870#1_1,1000009_129_1__0
150,41277870#1_1,1000009_19_2__36
150,41277870#1_1,1000009_19_2__56
150,41277870#1_1,1000009_23_2__17
150,43469298#2_0,105_1000009_2__4
150,43469298#2_0,82_1000008_1__1
150,43469298#2_0,81_1000000_1__6
150,43469298#2_0,1000005_1000009_1__0
